Label,Pairwise Deletion Sample Size for Observed Data,r Correlation,95% CI Lower Bound for r Correlation,95% CI Upper Bound for r Correlation,95% CI Width for r Correlation,d Correlation,d Correlation Minus |r| Correlation
DOSPERT Risk-Taking Ethical with Adaptive N-Back Mean Load,504,.0688,-.0304,.1644,.1948,.0983,.0295
DOSPERT Risk-Taking Ethical with Angling Risk Task Keep Adjusted Clicks,522,.0481,-.0337,.1320,.1656,.0671,.0190
DOSPERT Risk-Taking Ethical with Angling Risk Task Keep Loss Percent,522,.0933,.0093,.1772,.1680,.1180,.0248
DOSPERT Risk-Taking Ethical with Angling Risk Task Keep Score,522,.0219,-.0621,.1073,.1694,.0573,.0354
DOSPERT Risk-Taking Ethical with Angling Risk Task Release Adjusted Clicks,522,.0102,-.0701,.0929,.1630,.0630,.0527
DOSPERT Risk-Taking Ethical with Angling Risk Task Release Loss Percent,522,.0404,-.0425,.1234,.1659,.0544,.0140
DOSPERT Risk-Taking Ethical with Angling Risk Task Release Score,522,.0031,-.0782,.0854,.1637,.0600,.0569
DOSPERT Risk-Taking Ethical with Attention Network Task Alerting HDDM Drift,198,.0240,-.0982,.1489,.2471,.1093,.0853
DOSPERT Risk-Taking Ethical with Attention Network Task Conflict HDDM Drift,198,.0966,-.0334,.2009,.2342,.1250,.0284
DOSPERT Risk-Taking Ethical with Attention Network Task HDDM Drift,198,-.0085,-.1369,.1252,.2622,.0945,.0860
DOSPERT Risk-Taking Ethical with Attention Network Task HDDM Non-Decision,198,-.0904,-.2099,.0266,.2366,.1684,.0780
DOSPERT Risk-Taking Ethical with Attention Network Task HDDM Threshold,198,.0177,-.1368,.1780,.3149,.0998,.0820
DOSPERT Risk-Taking Ethical with Attention Network Task Orienting HDDM Drift,198,.0385,-.0912,.1677,.2589,.1067,.0682
DOSPERT Risk-Taking Ethical with Bickel Titrator Discount Rate Large,522,-.0778,-.1290,-.0053,.1237,.0890,.0111
DOSPERT Risk-Taking Ethical with Bickel Titrator Discount Rate Medium,522,-.0957,-.1522,-.0251,.1271,.1046,.0089
DOSPERT Risk-Taking Ethical with Bickel Titrator Discount Rate Small,522,-.0381,-.1119,.0475,.1594,.0675,.0294
DOSPERT Risk-Taking Ethical with Choice Reaction Time HDDM Drift,518,-.1288,-.2106,-.0448,.1658,.1628,.0340
DOSPERT Risk-Taking Ethical with Choice Reaction Time HDDM Non-Decision,518,-.0735,-.1580,.0077,.1657,.1201,.0466
DOSPERT Risk-Taking Ethical with Choice Reaction Time HDDM Threshold,518,-.0389,-.1277,.0482,.1759,.0923,.0534
DOSPERT Risk-Taking Ethical with Cognitive Reflection Task Correct Proportion,522,.0646,-.0210,.1519,.1729,.1080,.0435
DOSPERT Risk-Taking Ethical with Cognitive Reflection Task Intuitive Proportion,522,-.0386,-.1202,.0432,.1635,.0726,.0340
DOSPERT Risk-Taking Ethical with Columbia Card Task Cold Average Cards Chosen,522,-.0195,-.1099,.0722,.1821,.0758,.0563
DOSPERT Risk-Taking Ethical with Columbia Card Task Cold Gain Sensitivity,522,.0338,-.0560,.1212,.1773,.0907,.0569
DOSPERT Risk-Taking Ethical with Columbia Card Task Cold Information Use,522,.0549,-.0341,.1462,.1803,.0886,.0337
DOSPERT Risk-Taking Ethical with Columbia Card Task Cold Loss Sensitivity,522,.0230,-.0564,.0988,.1552,.0801,.0571
DOSPERT Risk-Taking Ethical with Columbia Card Task Cold Probability Sensitivity,522,.0168,-.0695,.1009,.1703,.0614,.0447
DOSPERT Risk-Taking Ethical with Columbia Card Task Hot Average Cards Chosen,521,-.0181,-.1047,.0707,.1755,.0649,.0468
DOSPERT Risk-Taking Ethical with Columbia Card Task Hot Gain Sensitivity,521,.0623,-.0295,.1510,.1805,.0962,.0340
DOSPERT Risk-Taking Ethical with Columbia Card Task Hot Information Use,521,.0332,-.0504,.1183,.1687,.0786,.0454
DOSPERT Risk-Taking Ethical with Columbia Card Task Hot Loss Sensitivity,521,-.0705,-.1498,.0075,.1573,.1046,.0342
DOSPERT Risk-Taking Ethical with Columbia Card Task Hot Probability Sensitivity,521,-.0427,-.1438,.0520,.1958,.0675,.0248
DOSPERT Risk-Taking Ethical with Dietary Decision Task Health Sensitivity,522,-.0728,-.1600,.0162,.1761,.0971,.0243
DOSPERT Risk-Taking Ethical with Dietary Decision Task Taste Sensitivity,522,-.1516,-.2438,-.0584,.1855,.1456,-.0060
DOSPERT Risk-Taking Ethical with Digit Span Forward Span,522,.0678,-.0192,.1542,.1735,.0729,.0051
DOSPERT Risk-Taking Ethical with Digit Span Reverse Span,522,.0069,-.0821,.0959,.1780,.0581,.0512
DOSPERT Risk-Taking Ethical with Directed Forgetting HDDM Drift,495,-.0326,-.1182,.0538,.1720,.0748,.0422
DOSPERT Risk-Taking Ethical with Directed Forgetting HDDM Non-Decision,495,.0028,-.0937,.0970,.1907,.0760,.0732
DOSPERT Risk-Taking Ethical with Directed Forgetting HDDM Threshold,495,-.0186,-.1047,.0669,.1716,.0770,.0583
DOSPERT Risk-Taking Ethical with Directed Forgetting Proactive Interference HDDM Drift,490,-.0797,-.1598,.0000,.1598,.0927,.0131
DOSPERT Risk-Taking Ethical with Discount Titrator Percent Patient,522,.0031,-.0892,.0957,.1849,.0548,.0517
DOSPERT Risk-Taking Ethical with Dot Pattern Expectancy AY.BY HDDM Drift,501,.0068,-.0840,.0933,.1773,.0617,.0549
DOSPERT Risk-Taking Ethical with Dot Pattern Expectancy BX.BY HDDM Drift,501,-.0646,-.1543,.0253,.1796,.1029,.0384
DOSPERT Risk-Taking Ethical with Dot Pattern Expectancy Bias,498,-.1109,-.1947,-.0253,.1695,.1017,-.0092
DOSPERT Risk-Taking Ethical with Dot Pattern Expectancy d',498,-.0960,-.1887,-.0040,.1847,.1140,.0180
DOSPERT Risk-Taking Ethical with Dot Pattern Expectancy HDDM Drift,504,-.0480,-.1336,.0408,.1744,.0841,.0361
DOSPERT Risk-Taking Ethical with Dot Pattern Expectancy HDDM Non-Decision,504,-.1084,-.1901,-.0225,.1676,.1117,.0033
DOSPERT Risk-Taking Ethical with Dot Pattern Expectancy HDDM Threshold,504,-.0209,-.1050,.0693,.1743,.0637,.0428
DOSPERT Risk-Taking Ethical with Go-No Go Bias,521,-.0175,-.0996,.0641,.1636,.0691,.0516
DOSPERT Risk-Taking Ethical with Go-No Go d',521,-.1056,-.1918,-.0153,.1765,.1163,.0108
DOSPERT Risk-Taking Ethical with Hierarchical Learning Task Score,515,.0014,-.0886,.0902,.1787,.0700,.0685
DOSPERT Risk-Taking Ethical with Holt & Laury Safe Choices,522,-.1302,-.2125,-.0468,.1657,.1349,.0048
DOSPERT Risk-Taking Ethical with Information Sampling Task Decreasing Win Probability Correct,514,.0307,-.0510,.1143,.1653,.0842,.0536
DOSPERT Risk-Taking Ethical with Information Sampling Task Decreasing Win Motivation,503,.1043,.0150,.1928,.1778,.1074,.0031
DOSPERT Risk-Taking Ethical with Information Sampling Task Fixed Win Probability Correct,514,.0919,.0091,.1732,.1641,.1102,.0183
DOSPERT Risk-Taking Ethical with Information Sampling Task Fixed Win Motivation,510,.1799,.0908,.2672,.1764,.1729,-.0070
DOSPERT Risk-Taking Ethical with Keep Track Task Score,514,.0334,-.0523,.1209,.1732,.0738,.0403
DOSPERT Risk-Taking Ethical with Kirby Discount Rate Large,522,.0263,-.0703,.1239,.1942,.0489,.0226
DOSPERT Risk-Taking Ethical with Kirby Discount Rate Medium,522,-.0516,-.1355,.0365,.1720,.0886,.0370
DOSPERT Risk-Taking Ethical with Kirby Discount Rate Small,522,-.0098,-.1009,.0859,.1868,.0634,.0537
DOSPERT Risk-Taking Ethical with Local-Global Letter Task HDDM Drift of Conflict,194,-.1021,-.2326,.0313,.2639,.1642,.0621
DOSPERT Risk-Taking Ethical with Local-Global Letter Task HDDM Drift,194,.0062,-.1206,.1368,.2574,.0946,.0884
DOSPERT Risk-Taking Ethical with Local-Global Letter Task HDDM Non-Decision,194,.0024,-.1258,.1185,.2443,.1565,.1541
DOSPERT Risk-Taking Ethical with Local-Global Letter Task HDDM Threshold,194,-.1306,-.2530,.0010,.2540,.1501,.0195
DOSPERT Risk-Taking Ethical with Local-Global Letter Task HDDM Drift of Switch Cost,194,-.0227,-.1675,.1114,.2789,.0992,.0765
DOSPERT Risk-Taking Ethical with Motor Selective Stop Signal Reaction Time,361,.0119,-.0913,.1138,.2051,.0772,.0652
DOSPERT Risk-Taking Ethical with Motor Selective Stop Signal HDDM Drift,361,-.1018,-.2033,.0024,.2057,.1219,.0201
DOSPERT Risk-Taking Ethical with Motor Selective Stop Signal HDDM Non-Decision,361,.0020,-.0940,.0937,.1877,.0996,.0976
DOSPERT Risk-Taking Ethical with Motor Selective Stop Signal HDDM Threshold,361,-.1500,-.2408,-.0532,.1875,.1588,.0088
DOSPERT Risk-Taking Ethical with Motor Selective Stop Signal Reactive Control,361,.0716,-.0398,.1836,.2234,.0961,.0246
DOSPERT Risk-Taking Ethical with Motor Selective Stop Signal Proactive Control,361,-.0746,-.1660,.0217,.1878,.0975,.0229
DOSPERT Risk-Taking Ethical with Probabilistic Selection Task Positive Learning Bias,369,.1179,.0043,.2254,.2211,.1244,.0065
DOSPERT Risk-Taking Ethical with Probabilistic Selection Task Value Sensitivity,369,-.0981,-.2050,.0163,.2213,.1136,.0155
DOSPERT Risk-Taking Ethical with Psychological Refractory Period Slope,515,-.0793,-.1632,.0066,.1698,.0821,.0028
DOSPERT Risk-Taking Ethical with Raven Progressive Matrices,522,.0391,-.0465,.1253,.1718,.0972,.0581
DOSPERT Risk-Taking Ethical with Shift Task Accuracy,512,.0445,-.0473,.1370,.1843,.1030,.0585
DOSPERT Risk-Taking Ethical with Shift Task Learning Rate,512,.0396,-.0458,.1270,.1728,.0806,.0410
DOSPERT Risk-Taking Ethical with Simon Task HDDM Drift,519,-.1040,-.1868,-.0190,.1678,.1118,.0078
DOSPERT Risk-Taking Ethical with Simon Task HDDM Non-Decision,519,-.1053,-.2019,-.0092,.1927,.1152,.0099
DOSPERT Risk-Taking Ethical with Simon Task HDDM Threshold,519,-.0572,-.1378,.0263,.1641,.0974,.0402
DOSPERT Risk-Taking Ethical with Simon Task HDDM Drift of Simon Effect,519,.1164,.0385,.1936,.1552,.1306,.0141
DOSPERT Risk-Taking Ethical with Simple Reaction Time Average Reaction Time,517,-.0150,-.0982,.0679,.1661,.0806,.0656
DOSPERT Risk-Taking Ethical with Spatial Span Forward Span,522,.0588,-.0305,.1473,.1778,.0922,.0334
DOSPERT Risk-Taking Ethical with Spatial Span Reverse Span,522,.0637,-.0209,.1496,.1705,.1132,.0495
DOSPERT Risk-Taking Ethical with Stimulus Selective Stop Signal Reaction Time,458,.0117,-.0780,.1024,.1804,.0794,.0676
DOSPERT Risk-Taking Ethical with Stimulus Selective Stop Signal HDDM Drift,458,-.0503,-.1401,.0375,.1776,.0910,.0407
DOSPERT Risk-Taking Ethical with Stimulus Selective Stop Signal HDDM Non-Decision,458,-.0506,-.1323,.0295,.1618,.1242,.0737
DOSPERT Risk-Taking Ethical with Stimulus Selective Stop Signal HDDM Threshold,458,-.1092,-.1837,-.0342,.1495,.1229,.0137
DOSPERT Risk-Taking Ethical with Stop Signal Reaction Time High,478,-.0065,-.0863,.0799,.1662,.0712,.0647
DOSPERT Risk-Taking Ethical with Stop Signal Reaction Time Low,478,-.0755,-.1600,.0090,.1691,.0845,.0090
DOSPERT Risk-Taking Ethical with Stop Signal HDDM Drift,478,-.1372,-.2226,-.0500,.1726,.1315,-.0057
DOSPERT Risk-Taking Ethical with Stop Signal HDDM Non-Decision,478,-.1394,-.2235,-.0533,.1702,.1407,.0014
DOSPERT Risk-Taking Ethical with Stop Signal HDDM Threshold,478,-.0503,-.1291,.0366,.1657,.0640,.0136
DOSPERT Risk-Taking Ethical with Stop Signal Proactive Reaction Time Speeding,478,-.0816,-.1693,-.0013,.1679,.1322,.0506
DOSPERT Risk-Taking Ethical with Stop Signal Proactive Reaction Time Slowing,478,-.0544,-.1609,.0607,.2215,.0982,.0438
DOSPERT Risk-Taking Ethical with Stroop HDDM Drift,521,-.0290,-.1190,.0631,.1821,.0532,.0243
DOSPERT Risk-Taking Ethical with Stroop HDDM Non-Decision,521,-.1310,-.2183,-.0418,.1764,.1229,-.0081
DOSPERT Risk-Taking Ethical with Stroop HDDM Threshold,521,-.0202,-.1070,.0729,.1799,.0610,.0408
DOSPERT Risk-Taking Ethical with Stroop HDDM Drift of Stroop Effect,521,-.0391,-.1302,.0531,.1833,.0630,.0239
DOSPERT Risk-Taking Ethical with Tower of London Average Move Time,521,-.1430,-.2192,-.0631,.1561,.1441,.0011
DOSPERT Risk-Taking Ethical with Tower of London Number of Extra Moves,522,.1432,.0603,.2241,.1639,.1399,-.0033
DOSPERT Risk-Taking Ethical with Tower of London Number of Optimal Solutions,522,-.0036,-.0873,.0793,.1666,.0567,.0531
DOSPERT Risk-Taking Ethical with Tower of London Planning Time,522,-.1040,-.1858,-.0176,.1682,.1025,-.0015
DOSPERT Risk-Taking Ethical with Two-Stage Decision Model-Based,435,.1232,.0228,.2302,.2074,.1576,.0344
DOSPERT Risk-Taking Ethical with Two-Stage Decision Model-Free,435,-.1165,-.2170,-.0194,.1977,.1049,-.0117
DOSPERT Risk-Taking Ethical with Two-Stage Decision Perseverance,435,.0448,-.0554,.1467,.2021,.0899,.0451
DOSPERT Risk-Taking Ethical with Writing Task Neutral Probability,522,-.1280,-.2138,-.0403,.1735,.1232,-.0047
DOSPERT Risk-Taking Ethical with Writing Task Positive Probability,522,-.0459,-.1315,.0386,.1700,.0837,.0378
DOSPERT Risk-Taking Ethical with Body Mass Index,518,.0442,-.0470,.1368,.1838,.0894,.0452
DOSPERT Risk-Taking Ethical with K6 Nervous,522,.0807,-.0109,.1706,.1815,.1021,.0214
DOSPERT Risk-Taking Ethical with K6 Hopeless,522,.1346,.0419,.2239,.1819,.1649,.0304
DOSPERT Risk-Taking Ethical with K6 Restless/Fidgety,522,.1083,.0219,.1933,.1713,.1538,.0455
DOSPERT Risk-Taking Ethical with K6 Depressed,522,.1497,.0542,.2478,.1936,.1722,.0225
DOSPERT Risk-Taking Ethical with K6 Everything an Effort,522,.1017,.0106,.1902,.1796,.1122,.0105
DOSPERT Risk-Taking Ethical with K6 Worthless,522,.1303,.0424,.2170,.1745,.1703,.0400
DOSPERT Risk-Taking Ethical with Cigarettes Per Day,522,-.0203,-.1085,.0721,.1805,.0757,.0554
DOSPERT Risk-Taking Ethical with How Many Drinks When Drinking,522,.2461,.1610,.3315,.1704,.2251,-.0210
DOSPERT Risk-Taking Ethical with How Often 6+ Drinks,522,.2474,.1586,.3346,.1760,.2065,-.0409
DOSPERT Risk-Taking Ethical with How Often Unable to Stop Drinking,522,.2339,.1383,.3276,.1892,.2204,-.0134
DOSPERT Risk-Taking Financial with DOSPERT Risk-Taking Health/Safety,522,.2904,.2015,.3730,.1715,.2470,-.0434
DOSPERT Risk-Taking Financial with DOSPERT Risk-Taking Recreational,522,.3706,.2790,.4564,.1774,.3310,-.0396
DOSPERT Risk-Taking Financial with DOSPERT Risk-Taking Social,522,.1603,.0727,.2438,.1710,.1460,-.0143
DOSPERT Risk-Taking Financial with Three-Factor Eating Questionnaire Cognitive Restraint,522,.0033,-.0896,.0962,.1858,.0768,.0735
DOSPERT Risk-Taking Financial with Three-Factor Eating Questionnaire Emotional Eating,522,.0218,-.0685,.1100,.1786,.0847,.0630
DOSPERT Risk-Taking Financial with Three-Factor Eating Questionnaire Uncontrolled Eating,522,.1051,.0189,.1935,.1747,.1193,.0141
DOSPERT Risk-Taking Financial with Emotion Regulation Questionnaire Reappraisal,522,.0573,-.0359,.1481,.1840,.0914,.0341
DOSPERT Risk-Taking Financial with Emotion Regulation Questionnaire Suppression,522,.0752,-.0138,.1610,.1748,.0902,.0150
DOSPERT Risk-Taking Financial with FFMQ Acting with Awareness,522,-.0298,-.1212,.0627,.1839,.0754,.0456
DOSPERT Risk-Taking Financial with FFMQ Describing,522,.0201,-.0663,.1035,.1698,.0918,.0717
DOSPERT Risk-Taking Financial with FFMQ Non-Judging of Experience,522,-.0772,-.1677,.0154,.1830,.0997,.0225
DOSPERT Risk-Taking Financial with FFMQ Non-Reactivity to Experience,522,.0511,-.0435,.1419,.1854,.0945,.0434
DOSPERT Risk-Taking Financial with FFMQ Observing,522,.0320,-.0567,.1209,.1775,.0817,.0497
DOSPERT Risk-Taking Financial with Carstensen Future Time Perspective,522,.0929,-.0003,.1865,.1868,.1115,.0186
DOSPERT Risk-Taking Financial with Grit Scale,522,-.0254,-.1191,.0660,.1851,.0835,.0580
DOSPERT Risk-Taking Financial with Eysenck I-7 Impulsiveness,522,.1514,.0396,.2618,.2222,.1517,.0002
DOSPERT Risk-Taking Financial with Eysenck I-7 Venturesomeness,522,.3543,.2701,.4313,.1612,.3228,-.0314
DOSPERT Risk-Taking Financial with Stanford Leisure Time Activities,522,.1488,.0545,.2441,.1896,.1673,.0185
DOSPERT Risk-Taking Financial with Mindful Attention and Awareness Scale,522,-.0900,-.1844,.0058,.1902,.0877,-.0023
DOSPERT Risk-Taking Financial with Multidimensional Personality Questionnaire Control,522,-.1480,-.2624,-.0333,.2291,.1344,-.0136
DOSPERT Risk-Taking Financial with SOC Compensation,494,.0088,-.0862,.1017,.1879,.0824,.0736
DOSPERT Risk-Taking Financial with SOC Elective Selection,511,-.0420,-.1336,.0492,.1829,.0584,.0164
DOSPERT Risk-Taking Financial with SOC Loss-Based Selection,457,-.0540,-.1469,.0406,.1875,.0817,.0276
DOSPERT Risk-Taking Financial with SOC Optimization,493,.0652,-.0338,.1584,.1922,.1132,.0480
DOSPERT Risk-Taking Financial with Short Self-Regulation Questionnaire,522,-.0488,-.1486,.0491,.1977,.0774,.0287
DOSPERT Risk-Taking Financial with SSS Boredom Susceptibility,508,.2014,.1054,.2964,.1911,.1788,-.0226
DOSPERT Risk-Taking Financial with SSS Disinhibition,512,.3069,.2251,.3830,.1579,.2723,-.0346
DOSPERT Risk-Taking Financial with SSS Experience-Seeking,510,.1779,.0897,.2636,.1739,.1632,-.0147
DOSPERT Risk-Taking Financial with SSS Thrill-Seeking,510,.3453,.2616,.4236,.1620,.3128,-.0325
DOSPERT Risk-Taking Financial with TIPI Agreeableness,522,-.0971,-.1967,.0008,.1975,.1101,.0130
DOSPERT Risk-Taking Financial with TIPI Conscientiousness,522,-.0982,-.1965,-.0001,.1964,.0903,-.0079
DOSPERT Risk-Taking Financial with TIPI Emotional Stability,522,.1360,.0523,.2166,.1644,.1434,.0074
DOSPERT Risk-Taking Financial with TIPI Extraversion,522,.1534,.0674,.2387,.1712,.1691,.0157
DOSPERT Risk-Taking Financial with TIPI Openness to Experience,522,.1499,.0668,.2325,.1657,.1550,.0051
DOSPERT Risk-Taking Financial with Theories of Willpower Scale,522,.0052,-.0788,.0907,.1695,.0963,.0911
DOSPERT Risk-Taking Financial with Zimbardo Time Perspective Inventory Past Negative,522,-.0208,-.1082,.0667,.1749,.0950,.0743
DOSPERT Risk-Taking Financial with Zimbardo Time Perspective Inventory Past Positive,522,.0113,-.0703,.0929,.1632,.0653,.0539
DOSPERT Risk-Taking Financial with Zimbardo Time Perspective Inventory Present Fatalistic,522,-.0042,-.0992,.0915,.1907,.0663,.0621
DOSPERT Risk-Taking Financial with Zimbardo Time Perspective Inventory Present Hedonistic,522,.3160,.2273,.3993,.1720,.3040,-.0119
DOSPERT Risk-Taking Financial with UPPS-P Lack of Perseverance,522,.0357,-.0598,.1318,.1916,.0774,.0417
DOSPERT Risk-Taking Financial with UPPS-P Lack of Premeditation,522,.2275,.1287,.3243,.1956,.2131,-.0145
DOSPERT Risk-Taking Financial with UPPS-P Negative Urgency,522,.0683,-.0284,.1649,.1934,.0986,.0304
DOSPERT Risk-Taking Financial with UPPS-P Positive Urgency,522,.2004,.1024,.2949,.1924,.1834,-.0170
DOSPERT Risk-Taking Financial with UPPS-P Sensation-Seeking,522,.3863,.3051,.4605,.1554,.3495,-.0368
DOSPERT Risk-Taking Financial with Adaptive N-Back HDDM Drift,504,.0595,-.0402,.1578,.1980,.0740,.0145
DOSPERT Risk-Taking Financial with Adaptive N-Back HDDM Non-Decision,504,-.0911,-.1812,-.0030,.1782,.1051,.0141
DOSPERT Risk-Taking Financial with Adaptive N-Back HDDM Threshold,504,.0565,-.0248,.1398,.1646,.0998,.0432
DOSPERT Risk-Taking Financial with Adaptive N-Back Mean Load,504,.1163,.0225,.2119,.1894,.1127,-.0036
DOSPERT Risk-Taking Financial with Angling Risk Task Keep Adjusted Clicks,522,.0913,.0053,.1770,.1718,.1116,.0203
DOSPERT Risk-Taking Financial with Angling Risk Task Keep Loss Percent,522,.1103,.0249,.1949,.1700,.1249,.0145
DOSPERT Risk-Taking Financial with Angling Risk Task Keep Score,522,.0438,-.0445,.1341,.1786,.0779,.0341
DOSPERT Risk-Taking Financial with Angling Risk Task Release Adjusted Clicks,522,.0925,.0106,.1739,.1632,.1003,.0078
DOSPERT Risk-Taking Financial with Angling Risk Task Release Loss Percent,522,.0999,.0180,.1822,.1642,.1005,.0006
DOSPERT Risk-Taking Financial with Angling Risk Task Release Score,522,.0543,-.0286,.1384,.1670,.0820,.0277
DOSPERT Risk-Taking Financial with Attention Network Task Alerting HDDM Drift,198,-.0420,-.1811,.0969,.2781,.1176,.0755
DOSPERT Risk-Taking Financial with Attention Network Task Conflict HDDM Drift,198,-.0173,-.2226,.1455,.3681,.1009,.0836
DOSPERT Risk-Taking Financial with Attention Network Task HDDM Drift,198,-.0755,-.2441,.1036,.3478,.1655,.0900
DOSPERT Risk-Taking Financial with Attention Network Task HDDM Non-Decision,198,-.1142,-.2356,.0193,.2550,.1517,.0375
DOSPERT Risk-Taking Financial with Attention Network Task HDDM Threshold,198,.0172,-.1036,.1425,.2461,.1094,.0922
DOSPERT Risk-Taking Financial with Attention Network Task Orienting HDDM Drift,198,.0995,-.0237,.2158,.2394,.1483,.0488
DOSPERT Risk-Taking Financial with Bickel Titrator Discount Rate Large,522,-.0301,-.1026,.0590,.1616,.0532,.0231
DOSPERT Risk-Taking Financial with Bickel Titrator Discount Rate Medium,522,-.0131,-.1065,.0845,.1910,.0567,.0436
DOSPERT Risk-Taking Financial with Bickel Titrator Discount Rate Small,522,-.0150,-.1043,.0911,.1955,.0529,.0379
DOSPERT Risk-Taking Financial with Choice Reaction Time HDDM Drift,518,-.0976,-.1832,-.0138,.1694,.1373,.0398
DOSPERT Risk-Taking Financial with Choice Reaction Time HDDM Non-Decision,518,-.0789,-.1751,.0169,.1921,.1163,.0374
DOSPERT Risk-Taking Financial with Choice Reaction Time HDDM Threshold,518,.0240,-.0708,.1222,.1931,.0648,.0408
DOSPERT Risk-Taking Financial with Cognitive Reflection Task Correct Proportion,522,.1209,.0348,.2042,.1694,.1391,.0181
DOSPERT Risk-Taking Financial with Cognitive Reflection Task Intuitive Proportion,522,-.0597,-.1477,.0315,.1791,.0997,.0399
DOSPERT Risk-Taking Financial with Columbia Card Task Cold Average Cards Chosen,522,.0362,-.0569,.1289,.1858,.0878,.0516
DOSPERT Risk-Taking Financial with Columbia Card Task Cold Gain Sensitivity,522,.1031,.0215,.1879,.1664,.1075,.0044
DOSPERT Risk-Taking Financial with Columbia Card Task Cold Information Use,522,.0174,-.0687,.1041,.1728,.0752,.0579
DOSPERT Risk-Taking Financial with Columbia Card Task Cold Loss Sensitivity,522,.0198,-.0615,.1021,.1637,.0619,.0421
DOSPERT Risk-Taking Financial with Columbia Card Task Cold Probability Sensitivity,522,.0383,-.0518,.1258,.1776,.0666,.0283
DOSPERT Risk-Taking Financial with Columbia Card Task Hot Average Cards Chosen,521,-.0168,-.1012,.0657,.1668,.0902,.0734
DOSPERT Risk-Taking Financial with Columbia Card Task Hot Gain Sensitivity,521,-.0010,-.0942,.0943,.1885,.0612,.0601
DOSPERT Risk-Taking Financial with Columbia Card Task Hot Information Use,521,.0089,-.0785,.0969,.1753,.0565,.0476
DOSPERT Risk-Taking Financial with Columbia Card Task Hot Loss Sensitivity,521,-.0553,-.1358,.0284,.1642,.0694,.0140
DOSPERT Risk-Taking Financial with Columbia Card Task Hot Probability Sensitivity,521,-.0274,-.1188,.0654,.1842,.0659,.0384
DOSPERT Risk-Taking Financial with Dietary Decision Task Health Sensitivity,522,-.0335,-.1103,.0439,.1542,.0671,.0336
DOSPERT Risk-Taking Financial with Dietary Decision Task Taste Sensitivity,522,-.0645,-.1565,.0254,.1818,.0994,.0349
DOSPERT Risk-Taking Financial with Digit Span Forward Span,522,.1005,.0152,.1826,.1674,.1040,.0035
DOSPERT Risk-Taking Financial with Digit Span Reverse Span,522,.0607,-.0319,.1499,.1818,.0760,.0153
DOSPERT Risk-Taking Financial with Directed Forgetting HDDM Drift,495,-.0227,-.1129,.0648,.1777,.0706,.0479
DOSPERT Risk-Taking Financial with Directed Forgetting HDDM Non-Decision,495,.0201,-.0624,.1009,.1633,.0731,.0530
DOSPERT Risk-Taking Financial with Directed Forgetting HDDM Threshold,495,.0624,-.0180,.1430,.1610,.0935,.0311
DOSPERT Risk-Taking Financial with Directed Forgetting Proactive Interference HDDM Drift,490,-.0265,-.1144,.0625,.1769,.0874,.0609
DOSPERT Risk-Taking Financial with Discount Titrator Percent Patient,522,-.0341,-.1140,.0501,.1641,.0629,.0289
DOSPERT Risk-Taking Financial with Dot Pattern Expectancy AY.BY HDDM Drift,501,.0033,-.0763,.0826,.1589,.0601,.0568
DOSPERT Risk-Taking Financial with Dot Pattern Expectancy BX.BY HDDM Drift,501,-.0914,-.1679,-.0166,.1513,.1231,.0316
DOSPERT Risk-Taking Financial with Dot Pattern Expectancy Bias,498,-.1391,-.2228,-.0536,.1691,.1302,-.0088
DOSPERT Risk-Taking Financial with Dot Pattern Expectancy d',498,-.1496,-.2302,-.0692,.1610,.1441,-.0055
DOSPERT Risk-Taking Financial with Dot Pattern Expectancy HDDM Drift,504,-.1068,-.1843,-.0265,.1578,.1025,-.0043
DOSPERT Risk-Taking Financial with Dot Pattern Expectancy HDDM Non-Decision,504,-.1384,-.2228,-.0531,.1696,.1309,-.0075
DOSPERT Risk-Taking Financial with Dot Pattern Expectancy HDDM Threshold,504,-.0252,-.0930,.0475,.1405,.0784,.0531
DOSPERT Risk-Taking Financial with Go-No Go Bias,521,-.0029,-.0841,.0803,.1644,.0757,.0728
DOSPERT Risk-Taking Financial with Go-No Go d',521,-.0648,-.1506,.0190,.1696,.1070,.0422
DOSPERT Risk-Taking Financial with Hierarchical Learning Task Score,515,-.0407,-.1285,.0452,.1737,.0709,.0303
DOSPERT Risk-Taking Financial with Holt & Laury Safe Choices,522,-.1596,-.2508,-.0696,.1811,.1656,.0060
DOSPERT Risk-Taking Financial with Information Sampling Task Decreasing Win Probability Correct,514,-.0273,-.1174,.0657,.1831,.0789,.0517
DOSPERT Risk-Taking Financial with Information Sampling Task Decreasing Win Motivation,503,-.0124,-.1020,.0799,.1819,.0593,.0468
DOSPERT Risk-Taking Financial with Information Sampling Task Fixed Win Probability Correct,514,.0313,-.0622,.1235,.1856,.0870,.0557
DOSPERT Risk-Taking Financial with Information Sampling Task Fixed Win Motivation,510,.0340,-.0516,.1228,.1745,.0631,.0291
DOSPERT Risk-Taking Financial with Keep Track Task Score,514,-.0378,-.1265,.0524,.1789,.0729,.0350
DOSPERT Risk-Taking Financial with Kirby Discount Rate Large,522,.0005,-.0883,.0909,.1792,.0567,.0561
DOSPERT Risk-Taking Financial with Kirby Discount Rate Medium,522,-.0687,-.1467,.0152,.1619,.1164,.0477
DOSPERT Risk-Taking Financial with Kirby Discount Rate Small,522,-.0326,-.1155,.0555,.1711,.0744,.0418
